Ad_ID,Number_of_rooms,Time_to_metro,Area_m2,Price,Repair,Windows,Children/pets_allowed,Floor flat,Design,Number of storeys in the house,Bathroom_separated,Bathroom_combined,Balcon,Loggia,pass_elevator,fr_elevator,Place
271271157,4,9,200.0,500000.0,3,0,3,5,4,16,0,1,1,0,1,1,10
271634126,4,8,198.0,500000.0,3,2,2,5,5,16,1,1,1,0,1,1,10
271173086,4,7,200.0,500000.0,2,2,2,5,2,16,0,1,1,0,1,0,10
272197456,4,3,170.0,400000.0,2,2,1,5,2,6,0,1,1,0,1,0,10
273614615,2,7,58.0,225000.0,2,2,0,12,2,26,0,1,1,0,1,1,10
274837728,3,5,92.0,470000.0,3,0,0,3,2,7,0,1,1,0,1,0,10
273643908,5,4,213.0,350000.0,2,2,3,4,2,5,0,1,1,0,1,0,10
274475342,3,3,98.0,250000.0,2,0,3,2,4,4,1,1,1,0,1,0,10
273973191,3,9,120.0,130000.0,2,1,1,5,6,10,0,1,1,0,1,0,10
272900409,4,10,90.0,210000.0,2,2,2,2,6,7,1,1,1,0,1,0,10
271036964,4,5,170.0,290000.0,2,2,2,6,2,7,0,1,1,0,1,0,10
273999490,3,2,80.0,100000.0,2,2,0,4,3,8,0,1,1,0,1,0,10
274017037,3,8,100.0,200000.0,3,0,3,2,3,4,0,1,1,0,1,0,10
273231024,5,9,180.0,500000.0,3,1,3,6,4,8,1,1,0,1,1,0,10
274839211,5,5,222.2,450000.0,2,0,0,5,4,9,0,1,1,0,1,0,9
274767901,5,6,225.0,450000.0,3,0,0,5,4,9,0,1,1,0,1,0,9
274995950,2,10,30.0,120000.0,2,1,3,19,2,26,0,1,1,0,1,0,10
274945807,5,5,222.0,450000.0,3,0,3,5,2,9,0,1,1,0,1,0,10
272911145,5,12,150.0,180000.0,2,0,0,4,3,7,0,1,1,0,1,0,10
274748017,5,6,201.0,190000.0,2,2,3,3,2,3,0,1,1,0,1,0,9
273941734,2,9,64.0,205000.0,2,1,3,12,2,26,0,1,1,0,1,0,10
274493570,3,5,112.0,230000.0,2,2,2,2,2,7,0,1,1,0,1,0,9
274849101,4,5,190.0,590000.0,3,0,0,4,2,5,0,1,1,0,1,0,10
223918678,5,8,255.6,850000.0,2,0,3,8,4,9,1,1,1,0,1,0,10
274391259,5,5,186.0,190000.0,2,2,3,3,1,3,0,1,1,0,1,0,10
272945376,3,5,100.0,200000.0,2,2,3,3,2,8,0,1,1,0,1,0,10
272612966,5,11,150.0,200000.0,2,0,0,4,2,7,0,1,1,0,1,0,10
271568490,5,7,140.0,300000.0,3,1,2,2,2,7,0,1,1,0,1,0,10
264664760,3,15,132.8,400000.0,2,0,3,5,4,13,0,1,1,0,1,0,10
228923308,5,10,256.0,750000.0,3,2,3,8,5,10,1,1,1,0,1,1,10
267489303,6,5,380.0,870000.0,1,2,3,3,1,6,1,1,1,0,1,0,10
273353104,3,7,112.0,350000.0,0,0,0,3,5,13,1,0,1,0,1,0,10
273353103,2,7,91.0,400000.0,0,0,0,10,5,13,1,0,1,0,1,0,10
268321690,3,11,135.0,400000.0,3,2,3,5,5,13,1,1,1,0,1,1,10
269496185,4,3,190.0,590000.0,3,2,2,4,5,5,0,1,1,0,1,1,10
272188531,2,15,44.0,135000.0,0,0,0,21,2,26,1,0,1,0,1,0,10
272727784,3,5,85.0,150000.0,2,0,3,7,2,7,0,1,1,0,1,0,10
267110043,2,7,100.0,320000.0,0,1,2,5,5,7,1,0,1,0,1,1,10
265323319,3,7,133.3,400000.0,0,0,2,5,5,13,1,0,1,0,1,0,10
265804792,4,7,210.0,400000.0,0,2,1,3,2,5,1,0,1,0,1,0,10
239000408,4,9,180.0,450000.0,0,0,3,4,2,4,1,0,1,0,1,0,10
271209314,4,5,165.0,470000.0,0,0,1,9,5,16,1,0,1,0,1,1,10
269889430,4,6,190.0,590000.0,0,0,1,4,2,6,1,0,1,0,1,0,10
241704098,4,5,168.0,600000.0,0,0,2,4,5,16,1,0,1,0,1,1,10
239000331,5,8,250.0,850000.0,0,0,1,8,5,9,1,0,1,0,1,1,9
272823500,3,7,85.0,150000.0,2,0,0,7,3,7,0,1,1,0,1,0,10
274402813,3,5,105.0,195000.0,2,2,3,6,5,17,0,1,1,0,1,0,10
270190788,3,5,134.0,300000.0,2,0,3,8,4,16,1,0,1,0,1,0,10
271265359,2,5,60.0,90000.0,2,2,2,5,2,6,0,1,1,0,1,0,10
274289253,3,7,85.0,150000.0,3,0,0,7,2,7,0,1,1,0,1,0,10
274150874,5,4,150.0,250000.0,3,0,0,4,2,6,0,1,1,0,1,0,10
274849686,4,5,142.0,350000.0,2,2,0,12,2,13,0,1,1,0,1,0,10
274315381,5,6,222.0,450000.0,2,1,3,7,2,9,0,1,0,1,1,0,10
273779074,2,7,60.0,120000.0,0,1,3,3,3,6,0,1,1,0,1,0,10
274217247,3,8,103.0,120000.0,0,2,2,2,3,3,0,1,1,0,1,0,10
272156997,5,5,170.0,175000.0,2,0,3,5,3,5,0,1,1,0,1,0,9
274617827,5,8,200.0,190000.0,2,0,3,3,3,3,0,1,1,0,1,0,9
274252871,3,5,105.0,240000.0,0,2,3,6,4,17,1,1,0,1,1,1,10
269132104,1,10,60.0,250000.0,2,0,2,2,5,12,0,1,1,0,1,1,10
273911217,5,6,155.0,250000.0,3,1,0,4,2,6,0,1,1,0,1,0,10
269716469,3,5,134.0,300000.0,2,2,3,8,5,16,0,1,1,0,1,1,10
274137125,5,5,214.6,500000.0,3,2,3,3,2,13,0,1,1,0,1,0,9
274140104,5,5,204.0,500000.0,0,0,3,2,4,14,0,1,1,0,1,1,10
271258034,5,9,180.0,500000.0,2,0,2,7,2,8,0,1,0,1,1,0,10
166833883,6,6,260.0,590000.0,3,1,3,6,3,8,1,1,1,1,1,1,10
273798495,4,6,237.1,650000.0,3,2,0,7,4,11,1,1,0,1,1,0,10
274810876,4,4,215.0,700000.0,2,0,0,5,3,5,0,1,1,0,1,0,10
274199925,3,5,100.0,115000.0,0,0,2,2,2,3,0,1,1,0,1,0,10
274223065,2,8,60.0,120000.0,3,1,0,3,2,6,0,1,1,0,1,0,10
271264562,5,5,170.0,175000.0,2,2,3,5,1,5,0,1,1,0,1,0,9
272632345,3,6,98.0,185000.0,0,0,0,6,3,6,1,0,1,0,1,0,10
274018110,2,5,175.0,200000.0,0,0,0,3,5,9,1,0,1,0,1,1,10
274029603,4,5,180.0,350000.0,2,2,2,3,3,4,0,1,1,0,1,0,10
274548856,4,6,132.0,350000.0,3,0,3,12,5,13,0,1,1,0,1,1,10
271766412,6,4,228.0,400000.0,2,0,0,3,2,6,0,1,1,0,1,0,10
269165004,3,2,92.3,470000.0,0,0,0,3,5,7,1,0,1,0,1,1,10
274105576,5,5,204.0,500000.0,2,2,3,2,2,13,0,1,1,0,1,0,10
273785180,4,4,160.0,650000.0,2,2,3,26,2,26,0,1,1,0,1,0,10
273785183,4,4,140.0,650000.0,2,2,3,25,2,26,0,1,1,0,1,0,10
273785185,4,4,140.0,700000.0,2,2,3,25,2,26,0,1,1,1,1,0,10
274528249,1,3,45.0,120000.0,3,0,0,6,3,7,0,1,1,0,1,0,10
274431438,3,3,65.0,130000.0,2,2,3,7,2,7,0,1,1,0,1,0,10
274064272,3,5,87.0,140000.0,2,2,0,4,3,7,1,0,1,0,1,0,10
273078340,3,6,90.0,145000.0,3,2,3,7,3,12,0,1,1,0,1,0,10
274359655,4,7,180.0,350000.0,2,0,0,3,3,4,1,0,1,0,1,0,10
272226556,4,10,180.0,400000.0,3,0,2,2,2,3,0,1,1,0,1,0,10
273114736,4,5,170.0,650000.0,3,0,3,4,2,7,0,1,1,0,1,0,10
274319903,3,3,75.0,99000.0,1,0,3,9,3,10,1,0,1,0,1,1,10
273427928,3,11,87.0,100000.0,3,1,2,3,3,7,0,1,1,0,1,0,10
274296188,3,8,105.0,180000.0,1,2,2,9,3,9,0,1,1,0,1,0,10
272887177,3,5,99.0,200000.0,0,0,2,3,3,9,0,1,0,1,1,1,10
269319175,1,7,60.0,250000.0,0,0,2,2,4,11,0,1,1,0,1,0,10
