,Ad_ID,Number_of_rooms,Metro,Address,Area_m2,Price,Repair,Windows,Children/pets_allowed,Floor flat,Design,Number of storeys in the house,Bathroom_separated,Bathroom_combined,Balcon,Loggia,pass_elevator,fr_elevator
0,271271157,4,м. Смоленская ,"Москва, улица Новый Арбат, 27",200.0,500000.0,3,0,3,5,4,16,0,1,1,0,1,1
1,271634126,4,м. Смоленская ,"Москва, улица Новый Арбат, 27",198.0,500000.0,3,2,2,5,5,16,1,1,1,0,1,1
2,271173086,4,м. Смоленская ,"Москва, улица Новый Арбат, 27",200.0,500000.0,2,2,2,5,2,16,0,1,1,0,1,0
3,272197456,4,м. Смоленская ,"Москва, переулок Плотников, 21С1",170.0,400000.0,2,2,1,5,2,6,0,1,1,0,1,0
4,273614615,2,м. Арбатская ,"Москва, улица Новый Арбат, 15",58.0,225000.0,2,2,0,12,2,26,0,1,1,0,1,1
5,274837728,3,м. Смоленская ,"Москва, 1-й Смоленский переулок, 21",92.0,470000.0,3,0,0,3,2,7,0,1,1,0,1,0
6,273643908,5,м. Арбатская ,"Москва, переулок Романов, 3С1",213.0,350000.0,2,2,3,4,2,5,0,1,1,0,1,0
7,274475342,3,м. Смоленская ,"Москва, улица Арбат, 43С3",98.0,250000.0,2,0,3,2,4,4,1,1,1,0,1,0
8,273973191,3,м. Смоленская ,"Москва, Новинский бульвар, 18С1",120.0,130000.0,2,1,1,5,6,10,0,1,1,0,1,0
9,272900409,4,м. Арбатская ,"Москва, улица Арбат, 30/3С1",90.0,210000.0,2,2,2,2,6,7,1,1,1,0,1,0
10,271036964,4,м. Смоленская ,"Москва, Малый Николопесковский переулок, 4",170.0,290000.0,2,2,2,6,2,7,0,1,1,0,1,0
11,273999490,3,м. Смоленская ,"Москва, Новинский бульвар, 7",80.0,100000.0,2,2,0,4,3,8,0,1,1,0,1,0
12,274017037,3,м. Смоленская ,"Москва, Большой Николопесковский переулок, 13",100.0,200000.0,3,0,3,2,3,4,0,1,1,0,1,0
13,273231024,5,м. Смоленская ,"Москва, Трубниковский переулок, 13С1",180.0,500000.0,3,1,3,6,4,8,1,1,0,1,1,0
14,274839211,5,м. Кропоткинская ,"Москва, Филипповский переулок, 8С1",222.2,450000.0,2,0,0,5,4,9,0,1,1,0,1,0
15,274767901,5,м. Кропоткинская ,"Москва, Филипповский переулок, 8С1",225.0,450000.0,3,0,0,5,4,9,0,1,1,0,1,0
16,274995950,2,м. Арбатская ,"Москва, улица Новый Арбат, 15",30.0,120000.0,2,1,3,19,2,26,0,1,1,0,1,0
17,274945807,5,м. Арбатская ,"Москва, Филипповский переулок, 8С1",222.0,450000.0,3,0,3,5,2,9,0,1,1,0,1,0
18,272911145,5,м. Александровский сад ,"Москва, Поварская улица, 18",150.0,180000.0,2,0,0,4,3,7,0,1,1,0,1,0
19,274748017,5,м. Кропоткинская ,"Москва, Филипповский переулок, 9",201.0,190000.0,2,2,3,3,2,3,0,1,1,0,1,0
20,273941734,2,м. Арбатская ,"Москва, улица Новый Арбат, 15",64.0,205000.0,2,1,3,12,2,26,0,1,1,0,1,0
21,274493570,3,м. Кропоткинская ,"Москва, переулок Сивцев Вражек, 14",112.0,230000.0,2,2,2,2,2,7,0,1,1,0,1,0
22,274849101,4,м. Смоленская ,"Москва, Малый Каковинский переулок, 6С1",190.0,590000.0,3,0,0,4,2,5,0,1,1,0,1,0
23,223918678,5,м. Арбатская ,"Москва, Филипповский переулок, 8С1",255.6,850000.0,2,0,3,8,4,9,1,1,1,0,1,0
24,274391259,5,м. Арбатская ,"Москва, Филипповский переулок, 9",186.0,190000.0,2,2,3,3,1,3,0,1,1,0,1,0
